"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Pertussis","All cases","Reported cases","N","1999-05","IT","Italy",468.000000000,""
"Pertussis","All cases","Reported cases","N","1999-05","LT","Lithuania",-,""
"Pertussis","All cases","Reported cases","N","1999-05","MT","Malta",11.000000000,""
"Pertussis","All cases","Reported cases","N","1999-05","NL","Netherlands",-,""
"Pertussis","All cases","Reported cases","N","1999-05","NO","Norway",66.000000000,""
"Pertussis","All cases","Reported cases","N","1999-05","PT","Portugal",1.000000000,""
"Pertussis","All cases","Reported cases","N","1999-05","SE","Sweden",129.000000000,""
"Pertussis","All cases","Reported cases","N","1999-05","UK","United Kingdom",25.000000000,""
"Pertussis","All cases","Reported cases","N","1999-06","AT","Austria",-,""
"Pertussis","All cases","Reported cases","N","1999-06","DK","Denmark",87.000000000,""
"Pertussis","All cases","Reported cases","N","1999-06","EL","Greece",0.000000000,""
"Pertussis","All cases","Reported cases","N","1999-06","ES","Spain",27.000000000,""
"Pertussis","All cases","Reported cases","N","1999-06","EU_EEA31","EU/EEA",853.000000000,""
"Pertussis","All cases","Reported cases","N","1999-06","FR","France",17.000000000,""
"Pertussis","All cases","Reported cases","N","1999-06","IE","Ireland",12.000000000,""
"Pertussis","All cases","Reported cases","N","1999-06","IS","Iceland",4.000000000,""
"Pertussis","All cases","Reported cases","N","1999-06","IT","Italy",380.000000000,""
"Pertussis","All cases","Reported cases","N","1999-06","LT","Lithuania",-,""
"Pertussis","All cases","Reported cases","N","1999-06","MT","Malta",18.000000000,""
"Pertussis","All cases","Reported cases","N","1999-06","NL","Netherlands",-,""
"Pertussis","All cases","Reported cases","N","1999-06","NO","Norway",62.000000000,""
"Pertussis","All cases","Reported cases","N","1999-06","PT","Portugal",0.000000000,""
"Pertussis","All cases","Reported cases","N","1999-06","SE","Sweden",217.000000000,""
"Pertussis","All cases","Reported cases","N","1999-06","UK","United Kingdom",29.000000000,""
"Pertussis","All cases","Reported cases","N","1999-07","AT","Austria",-,""
"Pertussis","All cases","Reported cases","N","1999-07","DK","Denmark",98.000000000,""
"Pertussis","All cases","Reported cases","N","1999-07","EL","Greece",4.000000000,""
"Pertussis","All cases","Reported cases","N","1999-07","ES","Spain",26.000000000,""
"Pertussis","All cases","Reported cases","N","1999-07","EU_EEA31","EU/EEA",856.000000000,""
"Pertussis","All cases","Reported cases","N","1999-07","FR","France",25.000000000,""
"Pertussis","All cases","Reported cases","N","1999-07","IE","Ireland",33.000000000,""
"Pertussis","All cases","Reported cases","N","1999-07","IS","Iceland",2.000000000,""
"Pertussis","All cases","Reported cases","N","1999-07","IT","Italy",391.000000000,""
"Pertussis","All cases","Reported cases","N","1999-07","LT","Lithuania",-,""
"Pertussis","All cases","Reported cases","N","1999-07","MT","Malta",11.000000000,""
"Pertussis","All cases","Reported cases","N","1999-07","NL","Netherlands",-,""
"Pertussis","All cases","Reported cases","N","1999-07","NO","Norway",72.000000000,""
"Pertussis","All cases","Reported cases","N","1999-07","PT","Portugal",2.000000000,""
"Pertussis","All cases","Reported cases","N","1999-07","SE","Sweden",156.000000000,""
"Pertussis","All cases","Reported cases","N","1999-07","UK","United Kingdom",36.000000000,""
"Pertussis","All cases","Reported cases","N","1999-08","AT","Austria",-,""
"Pertussis","All cases","Reported cases","N","1999-08","DK","Denmark",120.000000000,""
"Pertussis","All cases","Reported cases","N","1999-08","EL","Greece",3.000000000,""
"Pertussis","All cases","Reported cases","N","1999-08","ES","Spain",32.000000000,""
"Pertussis","All cases","Reported cases","N","1999-08","EU_EEA31","EU/EEA",874.000000000,""
"Pertussis","All cases","Reported cases","N","1999-08","FR","France",19.000000000,""
"Pertussis","All cases","Reported cases","N","1999-08","IE","Ireland",22.000000000,""
"Pertussis","All cases","Reported cases","N","1999-08","IS","Iceland",2.000000000,""
"Pertussis","All cases","Reported cases","N","1999-08","IT","Italy",264.000000000,""
"Pertussis","All cases","Reported cases","N","1999-08","LT","Lithuania",-,""
"Pertussis","All cases","Reported cases","N","1999-08","MT","Malta",4.000000000,""
"Pertussis","All cases","Reported cases","N","1999-08","NL","Netherlands",-,""
"Pertussis","All cases","Reported cases","N","1999-08","NO","Norway",107.000000000,""
